video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video02,TriClass-Cloud,0,1,1,0,0,0,0,0.7319071292877197
video02,TriClass-Cloud,1,1,1,0,0,0,0,0.7105735540390015
video02,TriClass-Cloud,2,1,1,0,0,0,0,0.7252094745635986
video02,TriClass-Cloud,3,1,1,0,0,0,0,0.7263535857200623
video02,TriClass-Cloud,4,1,1,0,0,0,0,0.727794885635376
video02,TriClass-Cloud,5,1,1,0,0,0,0,0.7400389313697815
video02,TriClass-Cloud,6,1,1,0,0,0,0,0.7401345372200012
video02,TriClass-Cloud,7,1,1,0,0,0,0,0.7428580522537231
video02,TriClass-Cloud,8,1,1,0,0,0,0,0.7425172328948975
video02,TriClass-Cloud,9,1,1,0,0,0,0,0.740405797958374
video02,TriClass-Cloud,10,1,1,0,0,0,0,0.7379986047744751
video02,TriClass-Cloud,11,1,1,0,0,0,0,0.7475234270095825
video02,TriClass-Cloud,12,1,1,0,0,0,0,0.7501887083053589
video02,TriClass-Cloud,13,1,1,0,0,0,0,0.7509860396385193
video02,TriClass-Cloud,14,1,1,0,0,0,0,0.7464964985847473
video02,TriClass-Cloud,15,1,1,0,0,0,0,0.7566460371017456
video02,TriClass-Cloud,16,1,1,0,0,0,0,0.7464757561683655
video02,TriClass-Cloud,17,1,1,0,0,0,0,0.739292323589325
video02,TriClass-Cloud,18,1,1,0,0,0,0,0.739170253276825
video02,TriClass-Cloud,19,1,1,0,0,0,0,0.7454921007156372
video02,TriClass-Cloud,20,1,1,0,0,0,0,0.7428597211837769
video02,TriClass-Cloud,21,1,1,0,0,0,0,0.7357115149497986
video02,TriClass-Cloud,22,1,1,0,0,0,0,0.7403591871261597
video02,TriClass-Cloud,23,1,1,0,0,0,0,0.7402172684669495
video02,TriClass-Cloud,24,1,1,0,0,0,0,0.7394840121269226
video02,TriClass-Cloud,25,1,1,0,0,0,0,0.7563210129737854
video02,TriClass-Cloud,26,1,1,0,0,0,0,0.7602005004882812
video02,TriClass-Cloud,27,1,1,0,0,0,0,0.7504591941833496
video02,TriClass-Cloud,28,1,1,0,0,0,0,0.7518793344497681
video02,TriClass-Cloud,29,1,1,0,0,0,0,0.6727030277252197
video02,TriClass-Cloud,30,1,1,0,0,0,0,0.7584010362625122
video02,TriClass-Cloud,31,1,1,0,0,0,0,0.7631443738937378
video02,TriClass-Cloud,32,1,1,0,0,0,0,0.6576212644577026
video02,TriClass-Cloud,33,1,1,0,0,0,0,0.7574628591537476
video02,TriClass-Cloud,34,1,1,0,0,0,0,0.7791832089424133
video02,TriClass-Cloud,35,1,1,0,0,0,0,0.7825605869293213
video02,TriClass-Cloud,36,1,1,0,0,0,0,0.7982620000839233
video02,TriClass-Cloud,37,1,1,0,0,0,0,0.7927411198616028
video02,TriClass-Cloud,38,1,1,0,0,0,0,0.7923381328582764
video02,TriClass-Cloud,39,1,1,0,0,0,0,0.7744267582893372
