video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video17,BirdDrone-Local,0,1,1,0,0,0,1,0.8556460738182068
video17,BirdDrone-Local,1,1,1,0,0,0,0,0.8538318872451782
video17,BirdDrone-Local,2,1,1,0,0,0,0,0.8403030037879944
video17,BirdDrone-Local,3,1,1,0,0,0,0,0.8346104621887207
video17,BirdDrone-Local,4,1,1,0,0,0,0,0.8682437539100647
video17,BirdDrone-Local,5,1,1,0,0,0,0,0.8687555193901062
video17,BirdDrone-Local,6,1,1,0,0,0,0,0.8284265398979187
video17,BirdDrone-Local,7,1,1,0,0,0,0,0.837307333946228
video17,BirdDrone-Local,8,1,1,0,0,0,0,0.858690083026886
video17,BirdDrone-Local,9,1,1,0,0,0,0,0.8647725582122803
video17,BirdDrone-Local,10,1,1,0,0,0,0,0.8366246819496155
video17,BirdDrone-Local,11,1,1,0,0,0,0,0.8333919048309326
video17,BirdDrone-Local,12,1,1,0,0,0,0,0.8455435633659363
video17,BirdDrone-Local,13,1,1,0,0,0,0,0.8339853286743164
video17,BirdDrone-Local,14,1,1,0,0,0,0,0.7594712972640991
video17,BirdDrone-Local,15,1,1,0,0,0,0,0.7760865688323975
video17,BirdDrone-Local,16,1,1,0,0,0,0,0.7567471265792847
video17,BirdDrone-Local,17,1,1,0,0,0,0,0.7613732814788818
video17,BirdDrone-Local,18,1,1,0,0,0,0,0.766231119632721
video17,BirdDrone-Local,19,1,1,0,0,0,0,0.7646119594573975
video17,BirdDrone-Local,20,1,1,0,0,0,0,0.7500242590904236
video17,BirdDrone-Local,21,1,1,0,0,0,0,0.7492080330848694
video17,BirdDrone-Local,22,1,1,0,0,0,0,0.6958267092704773
video17,BirdDrone-Local,23,1,1,0,0,0,0,0.6903919577598572
video17,BirdDrone-Local,24,1,1,0,0,0,0,0.6674625277519226
video17,BirdDrone-Local,25,1,1,0,0,0,0,0.6396903395652771
video17,BirdDrone-Local,26,1,1,0,0,0,0,0.5696635246276855
video17,BirdDrone-Local,27,1,1,0,0,0,0,0.6292316317558289
video17,BirdDrone-Local,28,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,29,1,1,0,0,1,0,0.32391995191574097
video17,BirdDrone-Local,30,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,31,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,32,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,33,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,34,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,35,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,36,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,37,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,38,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,39,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,40,1,1,0,0,0,0,0.350018173456192
video17,BirdDrone-Local,41,1,1,0,0,1,0,0.33634042739868164
video17,BirdDrone-Local,42,1,1,0,0,1,0,0.2672995328903198
video17,BirdDrone-Local,43,2,2,0,0,0,0,0.3779190480709076
video17,BirdDrone-Local,44,1,1,0,0,0,0,0.37904927134513855
video17,BirdDrone-Local,45,1,1,0,0,0,0,0.3856620490550995
video17,BirdDrone-Local,46,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,47,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,48,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,49,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,50,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,51,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,52,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,53,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,54,1,1,0,0,1,0,0.28633037209510803
video17,BirdDrone-Local,55,1,1,0,0,1,0,0.28037548065185547
video17,BirdDrone-Local,56,1,1,0,0,0,0,0.5763845443725586
video17,BirdDrone-Local,57,1,1,0,0,0,0,0.5695036053657532
video17,BirdDrone-Local,58,1,1,0,0,0,0,0.36310020089149475
video17,BirdDrone-Local,59,1,1,0,0,0,0,0.3726768493652344
video17,BirdDrone-Local,60,1,1,0,0,0,0,0.4225083589553833
video17,BirdDrone-Local,61,1,1,0,0,0,0,0.3812226951122284
video17,BirdDrone-Local,62,1,1,0,0,1,0,0.2816801071166992
video17,BirdDrone-Local,63,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,64,1,1,0,0,0,0,0.3652864098548889
video17,BirdDrone-Local,65,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,66,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,67,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,68,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,69,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,70,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,71,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,72,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,73,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,74,1,1,0,0,1,0,0.2510181963443756
video17,BirdDrone-Local,75,1,1,0,0,0,0,0.38192686438560486
video17,BirdDrone-Local,76,1,1,0,0,0,0,0.5230920314788818
video17,BirdDrone-Local,77,1,1,0,0,0,0,0.599116861820221
video17,BirdDrone-Local,78,1,1,0,0,0,0,0.44622933864593506
video17,BirdDrone-Local,79,1,1,0,0,0,0,0.46391409635543823
video17,BirdDrone-Local,80,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,81,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,82,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,83,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,84,1,1,0,0,0,0,0.6243986487388611
video17,BirdDrone-Local,85,1,1,0,0,0,0,0.6037591695785522
video17,BirdDrone-Local,86,1,1,0,0,0,0,0.44832155108451843
video17,BirdDrone-Local,87,1,1,0,0,0,0,0.4207153618335724
video17,BirdDrone-Local,88,1,1,0,0,0,0,0.8124982118606567
video17,BirdDrone-Local,89,1,1,0,0,0,0,0.8119325637817383
video17,BirdDrone-Local,90,1,1,0,0,0,0,0.7342993021011353
video17,BirdDrone-Local,91,1,1,0,0,0,0,0.7368379831314087
video17,BirdDrone-Local,92,1,1,0,0,0,0,0.5714536905288696
video17,BirdDrone-Local,93,1,1,0,0,0,0,0.6600345969200134
video17,BirdDrone-Local,94,1,1,0,0,0,0,0.564699649810791
video17,BirdDrone-Local,95,1,1,0,0,0,0,0.4916823208332062
video17,BirdDrone-Local,96,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,97,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,98,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,99,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,100,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,101,1,1,0,0,1,0,0.2623611390590668
video17,BirdDrone-Local,102,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,103,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,104,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,105,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,106,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,107,1,1,0,0,1,0,0.27863043546676636
video17,BirdDrone-Local,108,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,109,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,110,1,1,0,0,0,0,0.7516588568687439
video17,BirdDrone-Local,111,1,1,0,0,0,0,0.7487888336181641
video17,BirdDrone-Local,112,2,2,0,0,1,0,0.35187438130378723
video17,BirdDrone-Local,113,1,1,0,0,0,0,0.3985680639743805
video17,BirdDrone-Local,114,1,1,0,0,1,0,0.3139549195766449
video17,BirdDrone-Local,115,1,1,0,0,1,0,0.3307926654815674
video17,BirdDrone-Local,116,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,117,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,118,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,119,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,120,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,121,0,0,0,0,0,0,0.0
video17,BirdDrone-Local,122,1,1,0,0,0,0,0.6685020923614502
video17,BirdDrone-Local,123,1,1,0,0,0,0,0.4326539635658264
video17,BirdDrone-Local,124,1,1,0,0,0,0,0.6671684384346008
video17,BirdDrone-Local,125,1,1,0,0,0,0,0.6582879424095154
