video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video18,BirdDrone-Local-FT,0,1,1,0,0,0,1,0.8863159418106079
video18,BirdDrone-Local-FT,1,1,1,0,0,0,0,0.8915130496025085
video18,BirdDrone-Local-FT,2,1,1,0,0,0,0,0.8797027468681335
video18,BirdDrone-Local-FT,3,1,1,0,0,0,0,0.8872124552726746
video18,BirdDrone-Local-FT,4,1,1,0,0,0,0,0.8856291174888611
video18,BirdDrone-Local-FT,5,1,1,0,0,0,0,0.884668231010437
video18,BirdDrone-Local-FT,6,1,1,0,0,0,0,0.8936153054237366
video18,BirdDrone-Local-FT,7,1,1,0,0,0,0,0.8932568430900574
video18,BirdDrone-Local-FT,8,1,1,0,0,0,0,0.888278603553772
video18,BirdDrone-Local-FT,9,1,1,0,0,0,0,0.8879032731056213
video18,BirdDrone-Local-FT,10,1,1,0,0,0,0,0.8821082711219788
video18,BirdDrone-Local-FT,11,1,1,0,0,0,0,0.8724057674407959
video18,BirdDrone-Local-FT,12,1,1,0,0,0,0,0.8707512021064758
video18,BirdDrone-Local-FT,13,1,1,0,0,0,0,0.8612236976623535
video18,BirdDrone-Local-FT,14,1,1,0,0,0,0,0.858479380607605
video18,BirdDrone-Local-FT,15,1,1,0,0,0,0,0.7353948354721069
video18,BirdDrone-Local-FT,16,1,1,0,0,0,0,0.8185620903968811
video18,BirdDrone-Local-FT,17,1,1,0,0,0,0,0.8660938143730164
video18,BirdDrone-Local-FT,18,1,1,0,0,0,0,0.8472002148628235
video18,BirdDrone-Local-FT,19,1,1,0,0,0,0,0.8476768732070923
video18,BirdDrone-Local-FT,20,1,1,0,0,0,0,0.860009491443634
video18,BirdDrone-Local-FT,21,1,1,0,0,0,0,0.524820864200592
video18,BirdDrone-Local-FT,22,1,1,0,0,0,0,0.8561919927597046
video18,BirdDrone-Local-FT,23,1,1,0,0,0,0,0.8654281497001648
video18,BirdDrone-Local-FT,24,1,1,0,0,0,0,0.8705402612686157
video18,BirdDrone-Local-FT,25,1,1,0,0,0,0,0.8788794279098511
video18,BirdDrone-Local-FT,26,1,1,0,0,0,0,0.8430572748184204
video18,BirdDrone-Local-FT,27,1,1,0,0,0,0,0.8720212578773499
video18,BirdDrone-Local-FT,28,1,1,0,0,0,0,0.8744741082191467
video18,BirdDrone-Local-FT,29,1,1,0,0,0,0,0.87824547290802
video18,BirdDrone-Local-FT,30,1,1,0,0,0,0,0.8792593479156494
video18,BirdDrone-Local-FT,31,1,1,0,0,0,0,0.8750237822532654
video18,BirdDrone-Local-FT,32,1,1,0,0,0,0,0.8708587884902954
video18,BirdDrone-Local-FT,33,1,1,0,0,0,0,0.8635191321372986
video18,BirdDrone-Local-FT,34,1,1,0,0,0,0,0.8874969482421875
video18,BirdDrone-Local-FT,35,1,1,0,0,0,0,0.8785354495048523
video18,BirdDrone-Local-FT,36,1,1,0,0,0,0,0.8632587194442749
video18,BirdDrone-Local-FT,37,1,1,0,0,0,0,0.8773590326309204
