video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video03,TriClass-Cloud,0,1,1,0,0,0,1,0.8384250998497009
video03,TriClass-Cloud,1,1,1,0,0,0,0,0.7406868934631348
video03,TriClass-Cloud,2,1,1,0,0,0,0,0.6773858070373535
video03,TriClass-Cloud,3,1,1,0,0,1,0,0.307902991771698
video03,TriClass-Cloud,4,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,5,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,6,1,1,0,0,0,0,0.47732266783714294
video03,TriClass-Cloud,7,1,1,0,0,0,0,0.7514433860778809
video03,TriClass-Cloud,8,1,1,0,0,1,0,0.2875811755657196
video03,TriClass-Cloud,9,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,10,1,1,0,0,1,0,0.3441493511199951
video03,TriClass-Cloud,11,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,12,1,1,0,0,0,0,0.7754995226860046
video03,TriClass-Cloud,13,1,1,0,0,0,0,0.4572160243988037
video03,TriClass-Cloud,14,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,15,1,1,0,0,0,0,0.6919516324996948
video03,TriClass-Cloud,16,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,17,1,1,0,0,0,0,0.6884889006614685
video03,TriClass-Cloud,18,1,1,0,0,0,0,0.7237890362739563
video03,TriClass-Cloud,19,1,1,0,0,0,0,0.36913806200027466
video03,TriClass-Cloud,20,1,1,0,0,1,0,0.28723379969596863
video03,TriClass-Cloud,21,1,1,0,0,0,0,0.4132831394672394
video03,TriClass-Cloud,22,1,1,0,0,0,0,0.4889174997806549
video03,TriClass-Cloud,23,2,2,0,0,2,0,0.34194108843803406
video03,TriClass-Cloud,24,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,25,1,1,0,0,0,0,0.5071191787719727
video03,TriClass-Cloud,26,1,1,0,0,0,0,0.6048444509506226
video03,TriClass-Cloud,27,1,1,0,0,0,0,0.39351850748062134
video03,TriClass-Cloud,28,1,1,0,0,0,0,0.5151635408401489
video03,TriClass-Cloud,29,1,1,0,0,0,0,0.7075223326683044
video03,TriClass-Cloud,30,1,1,0,0,0,0,0.6715382933616638
video03,TriClass-Cloud,31,1,1,0,0,0,0,0.5601368546485901
video03,TriClass-Cloud,32,1,1,0,0,1,0,0.34095603227615356
video03,TriClass-Cloud,33,1,1,0,0,0,0,0.7170976400375366
video03,TriClass-Cloud,34,1,1,0,0,0,0,0.43115749955177307
video03,TriClass-Cloud,35,0,0,0,0,0,0,0.0
video03,TriClass-Cloud,36,1,1,0,0,0,0,0.5012819766998291
video03,TriClass-Cloud,37,1,1,0,0,0,0,0.6388506889343262
video03,TriClass-Cloud,38,1,1,0,0,0,0,0.5925659537315369
video03,TriClass-Cloud,39,1,1,0,0,0,0,0.3944662809371948
video03,TriClass-Cloud,40,1,1,0,0,1,0,0.2593200206756592
video03,TriClass-Cloud,41,2,2,0,0,1,0,0.43476828932762146
video03,TriClass-Cloud,42,1,1,0,0,0,0,0.5541080832481384
video03,TriClass-Cloud,43,1,1,0,0,0,0,0.3519081175327301
video03,TriClass-Cloud,44,1,1,0,0,0,0,0.6634888648986816
video03,TriClass-Cloud,45,1,1,0,0,0,0,0.6056674122810364
video03,TriClass-Cloud,46,1,1,0,0,0,0,0.5990110635757446
video03,TriClass-Cloud,47,1,1,0,0,0,0,0.36134716868400574
video03,TriClass-Cloud,48,1,1,0,0,0,0,0.48218050599098206
video03,TriClass-Cloud,49,1,1,0,0,1,0,0.2710336446762085
video03,TriClass-Cloud,50,1,1,0,0,0,0,0.3606868386268616
video03,TriClass-Cloud,51,1,1,0,0,1,0,0.3093416690826416
video03,TriClass-Cloud,52,2,2,0,0,2,0,0.33013197779655457
video03,TriClass-Cloud,53,1,1,0,0,0,0,0.6117599010467529
video03,TriClass-Cloud,54,1,1,0,0,0,0,0.39405587315559387
video03,TriClass-Cloud,55,1,1,0,0,1,0,0.2861499488353729
