epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,704.632,1.49202,0.86297,0.00761,0.83613,0.84225,0.89073,0.56943,1.40242,0.58675,0.008,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,1381.14,1.50266,0.87942,0.00764,0.83757,0.84019,0.8903,0.56938,1.40242,0.58659,0.00799,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2053.42,1.49287,0.86737,0.00762,0.83973,0.8434,0.89119,0.56997,1.40256,0.58514,0.00798,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2727.02,1.5049,0.87009,0.00748,0.83734,0.84264,0.89098,0.57009,1.40179,0.58472,0.00798,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3396.1,1.48706,0.85673,0.00739,0.83894,0.8414,0.89068,0.57036,1.40118,0.58374,0.00797,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4064.13,1.47689,0.84978,0.00744,0.84217,0.83933,0.89156,0.571,1.40135,0.58116,0.00797,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4734.52,1.48522,0.84472,0.00736,0.84303,0.83906,0.89154,0.57132,1.40091,0.58057,0.00796,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5417.9,1.4761,0.84186,0.00744,0.84331,0.83869,0.89189,0.57169,1.40108,0.5794,0.00795,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6092.94,1.46272,0.82769,0.00721,0.84119,0.84103,0.89142,0.57161,1.39916,0.5802,0.00794,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6769.01,1.46085,0.83505,0.00727,0.8458,0.83967,0.89129,0.57145,1.39976,0.57716,0.00794,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7453.17,1.45426,0.82355,0.00722,0.84725,0.83634,0.89103,0.5716,1.39964,0.57645,0.00794,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8126.41,1.44724,0.82265,0.00741,0.84639,0.83845,0.89127,0.57191,1.3992,0.57604,0.00792,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8805.49,1.44713,0.82627,0.00724,0.84939,0.83693,0.89201,0.57243,1.39902,0.57291,0.00792,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9488.73,1.43047,0.82095,0.00715,0.85395,0.83548,0.89228,0.57266,1.39825,0.57032,0.00791,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10171.2,1.44616,0.81505,0.00726,0.85098,0.83557,0.89147,0.57268,1.39705,0.56882,0.0079,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10830,1.36999,0.63679,0.00829,0.8524,0.83608,0.89167,0.57323,1.39658,0.5675,0.0079,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11486.2,1.3486,0.62327,0.00807,0.85213,0.83688,0.89243,0.57402,1.39522,0.56653,0.00789,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12144.2,1.3338,0.6116,0.00787,0.85034,0.83718,0.89167,0.57429,1.39432,0.5659,0.00788,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12792.1,1.32639,0.59902,0.00789,0.85265,0.83566,0.89142,0.57485,1.39267,0.56426,0.00787,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13442.4,1.31402,0.58713,0.00768,0.85685,0.83397,0.89054,0.57461,1.39244,0.56292,0.00786,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14088.9,1.30676,0.59253,0.00768,0.85887,0.8335,0.89099,0.57518,1.39131,0.56182,0.00785,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14740.8,1.29254,0.57537,0.00756,0.86078,0.83204,0.89079,0.57545,1.39127,0.56047,0.00784,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15391.8,1.2998,0.57045,0.00749,0.86168,0.8316,0.8908,0.57583,1.3903,0.55862,0.00783,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16041.1,1.29578,0.57269,0.00749,0.86255,0.83081,0.89071,0.57592,1.38853,0.55738,0.00782,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16693.5,1.27643,0.57103,0.00733,0.86176,0.83109,0.89026,0.57605,1.38704,0.55829,0.0078,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
