epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.526,2.35592,2.69785,0.00751,0.62535,0.52732,0.50761,0.16291,2.33539,1.61452,0.00897,0.00332248,0.00332248,0.0700977
2,338.396,2.20343,1.62354,0.00656,0.62308,0.52268,0.53736,0.1872,2.28924,1.67683,0.00853,0.00658992,0.00658992,0.0400318
3,494.787,2.13042,1.62032,0.00659,0.634,0.55667,0.55615,0.21625,2.17329,1.54575,0.00795,0.00979136,0.00979136,0.00989993
4,650.821,2.16303,1.69296,0.00675,0.59135,0.47859,0.48509,0.18964,2.23274,1.73227,0.00811,0.009703,0.009703,0.009703
5,812.171,2.18472,1.59752,0.00653,0.71004,0.58416,0.5979,0.2364,2.09409,1.34755,0.00737,0.009604,0.009604,0.009604
6,968.552,2.17314,1.53928,0.0067,0.7648,0.61964,0.68444,0.29919,2.00083,1.30528,0.00727,0.009505,0.009505,0.009505
7,1124.88,2.1503,1.47297,0.00654,0.73239,0.64413,0.68161,0.28073,2.08297,1.21154,0.00732,0.009406,0.009406,0.009406
8,1280.96,2.10334,1.47782,0.0066,0.73558,0.65,0.68724,0.2974,2.02116,1.21062,0.00732,0.009307,0.009307,0.009307
9,1437.07,2.09994,1.42518,0.00653,0.73073,0.65082,0.7018,0.31376,1.92258,1.24413,0.00654,0.009208,0.009208,0.009208
10,1592.96,2.08921,1.39979,0.00646,0.74711,0.67683,0.70387,0.30372,2.00069,1.12471,0.00724,0.009109,0.009109,0.009109
11,1757.07,2.1152,1.38208,0.00632,0.78564,0.69934,0.74457,0.33453,1.97473,1.13352,0.0069,0.00901,0.00901,0.00901
12,1916.41,2.07148,1.33961,0.00651,0.77534,0.70746,0.75302,0.34486,1.86675,1.1457,0.00654,0.008911,0.008911,0.008911
13,2075.72,2.07755,1.32656,0.00622,0.83083,0.72105,0.80049,0.38542,1.84825,1.06565,0.00621,0.008812,0.008812,0.008812
14,2234.44,2.06629,1.29317,0.0064,0.81552,0.72143,0.78472,0.36619,1.85678,1.03009,0.00634,0.008713,0.008713,0.008713
15,2393.58,2.07861,1.29951,0.00631,0.79411,0.67772,0.73776,0.34213,1.90131,1.10447,0.00652,0.008614,0.008614,0.008614
16,2554.64,2.08365,1.27771,0.00621,0.80865,0.727,0.79405,0.36701,1.94534,1.01388,0.00687,0.008515,0.008515,0.008515
17,2717.33,2.05833,1.26874,0.00604,0.81916,0.73286,0.78327,0.34623,1.94715,1.06238,0.00667,0.008416,0.008416,0.008416
18,2876.59,2.03843,1.22995,0.00595,0.81208,0.74988,0.79782,0.36648,1.91995,0.9962,0.00663,0.008317,0.008317,0.008317
19,3011.78,2.05007,1.21318,0.00604,0.83755,0.7353,0.80504,0.36867,1.90713,1.0398,0.00667,0.008218,0.008218,0.008218
20,3144.81,2.04512,1.20388,0.00596,0.82751,0.74768,0.81318,0.39171,1.84662,1.00819,0.00624,0.008119,0.008119,0.008119
21,3277.67,2.01898,1.20317,0.00613,0.82224,0.72435,0.78167,0.34298,1.95715,0.98239,0.00692,0.00802,0.00802,0.00802
22,3410.16,2.05992,1.23572,0.00623,0.84373,0.7417,0.81057,0.37973,1.87109,0.96704,0.00624,0.007921,0.007921,0.007921
23,3545.77,2.02464,1.19136,0.00603,0.84198,0.75599,0.8224,0.39513,1.81908,0.93869,0.00621,0.007822,0.007822,0.007822
24,3676.75,2.0232,1.15925,0.00587,0.84529,0.75385,0.82708,0.40705,1.82754,0.91817,0.00615,0.007723,0.007723,0.007723
25,3821.98,2.00142,1.15905,0.00598,0.83877,0.73948,0.80989,0.39304,1.85124,0.9679,0.0063,0.007624,0.007624,0.007624
26,3960.37,2.00237,1.16821,0.00604,0.8442,0.7839,0.84531,0.43196,1.75668,0.90299,0.00589,0.007525,0.007525,0.007525
27,4093.58,1.98115,1.16466,0.00615,0.82978,0.75571,0.81887,0.35558,1.93368,0.98367,0.00669,0.007426,0.007426,0.007426
28,4226.57,1.99488,1.14749,0.00577,0.84514,0.7714,0.8349,0.38719,1.86656,0.93571,0.00612,0.007327,0.007327,0.007327
29,4372.42,2.01909,1.14846,0.00574,0.86438,0.76845,0.84316,0.43256,1.73237,0.91892,0.0057,0.007228,0.007228,0.007228
30,4518,1.99137,1.13633,0.00604,0.88548,0.76756,0.84702,0.42528,1.75402,0.8787,0.0058,0.007129,0.007129,0.007129
31,4668.79,1.99572,1.11006,0.00601,0.87582,0.77779,0.84518,0.43765,1.75402,0.86368,0.00585,0.00703,0.00703,0.00703
32,4822.57,1.96931,1.11647,0.00584,0.86417,0.77569,0.84889,0.44036,1.7407,0.87224,0.00562,0.006931,0.006931,0.006931
33,4973.95,1.98119,1.10749,0.00593,0.87692,0.7924,0.85745,0.43816,1.74604,0.85695,0.00586,0.006832,0.006832,0.006832
34,5107.92,2.00015,1.10667,0.00581,0.86808,0.79144,0.85699,0.45411,1.69792,0.83212,0.00555,0.006733,0.006733,0.006733
35,5240.66,1.94646,1.07958,0.00578,0.87412,0.78873,0.85234,0.43251,1.76123,0.84998,0.00588,0.006634,0.006634,0.006634
36,5376.66,1.97137,1.09762,0.00577,0.88148,0.80192,0.85969,0.45225,1.70646,0.82168,0.00586,0.006535,0.006535,0.006535
37,5574.78,1.96787,1.07546,0.00587,0.88467,0.7948,0.86523,0.43792,1.7612,0.81436,0.00577,0.006436,0.006436,0.006436
38,5706.37,1.96241,1.06023,0.0057,0.8777,0.78966,0.86052,0.45188,1.72236,0.80273,0.00559,0.006337,0.006337,0.006337
39,5838.56,1.96032,1.08974,0.00578,0.89138,0.78879,0.8665,0.4513,1.72035,0.84114,0.00558,0.006238,0.006238,0.006238
40,5970.91,1.93411,1.04857,0.00577,0.88422,0.80613,0.87078,0.46554,1.69819,0.79211,0.00555,0.006139,0.006139,0.006139
41,6121.95,1.9606,1.04845,0.00557,0.88303,0.79596,0.8685,0.45486,1.7106,0.8068,0.00551,0.00604,0.00604,0.00604
42,6283.49,1.94789,1.04611,0.00572,0.88528,0.80279,0.87538,0.46648,1.69613,0.79043,0.0055,0.005941,0.005941,0.005941
43,6441.27,1.9301,1.0435,0.00576,0.90024,0.80821,0.87844,0.46435,1.72805,0.78334,0.00558,0.005842,0.005842,0.005842
44,6599.22,1.94232,1.02643,0.00567,0.90615,0.81131,0.88328,0.47709,1.67638,0.75351,0.00551,0.005743,0.005743,0.005743
45,6756.61,1.95879,1.01511,0.00566,0.87222,0.81227,0.87913,0.4637,1.73413,0.74966,0.00565,0.005644,0.005644,0.005644
46,6912.82,1.89908,1.00384,0.00565,0.91059,0.82338,0.88779,0.47466,1.71321,0.73115,0.00554,0.005545,0.005545,0.005545
47,7073.49,1.92618,1.01187,0.00574,0.90105,0.80884,0.8781,0.47106,1.69704,0.76391,0.00547,0.005446,0.005446,0.005446
48,7232.44,1.90492,1.00058,0.0057,0.89517,0.82329,0.88501,0.47752,1.69134,0.76078,0.0055,0.005347,0.005347,0.005347
49,7389.86,1.94693,1.00134,0.00553,0.89435,0.82258,0.88434,0.47878,1.6725,0.7496,0.00546,0.005248,0.005248,0.005248
50,7547.01,1.92684,0.9769,0.00557,0.88052,0.81918,0.87243,0.47559,1.67737,0.74839,0.00537,0.005149,0.005149,0.005149
51,7704.46,1.89099,0.97669,0.00552,0.90353,0.81649,0.88889,0.48231,1.68232,0.74015,0.00538,0.00505,0.00505,0.00505
52,7862.66,1.9163,0.9902,0.00548,0.88264,0.82437,0.88233,0.48163,1.66943,0.76315,0.00542,0.004951,0.004951,0.004951
53,8025.25,1.91366,0.96182,0.00557,0.89848,0.82765,0.89036,0.48159,1.66947,0.72805,0.00555,0.004852,0.004852,0.004852
54,8183.39,1.8996,0.95814,0.00546,0.89491,0.82394,0.88957,0.49203,1.64498,0.73815,0.00515,0.004753,0.004753,0.004753
55,8341.08,1.88804,0.94305,0.00537,0.88997,0.8387,0.89221,0.48867,1.65319,0.70874,0.00519,0.004654,0.004654,0.004654
56,8500.1,1.89246,0.9266,0.00537,0.90002,0.84029,0.8951,0.4863,1.68058,0.71115,0.00528,0.004555,0.004555,0.004555
57,8650.42,1.87733,0.94101,0.0054,0.91182,0.83734,0.90007,0.50512,1.61992,0.70036,0.00511,0.004456,0.004456,0.004456
58,8807.75,1.89017,0.93347,0.00532,0.91167,0.84208,0.89956,0.49615,1.6341,0.7015,0.0051,0.004357,0.004357,0.004357
59,8969.96,1.88669,0.92007,0.00532,0.9069,0.84513,0.90044,0.49878,1.65395,0.67545,0.00517,0.004258,0.004258,0.004258
60,9126.94,1.84746,0.9154,0.00526,0.9095,0.84211,0.90453,0.50591,1.63504,0.70128,0.00513,0.004159,0.004159,0.004159
61,9285.29,1.863,0.91959,0.00533,0.91796,0.83548,0.90406,0.50963,1.62533,0.68882,0.00505,0.00406,0.00406,0.00406
62,9443.28,1.88829,0.91028,0.00513,0.91394,0.85104,0.90713,0.51633,1.61968,0.65799,0.00504,0.003961,0.003961,0.003961
63,9601.17,1.87234,0.90522,0.00517,0.90568,0.85324,0.90569,0.50934,1.62117,0.66429,0.00498,0.003862,0.003862,0.003862
64,9760.34,1.86068,0.90928,0.00504,0.92743,0.83872,0.91099,0.51618,1.61215,0.65889,0.00497,0.003763,0.003763,0.003763
