video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video05,BirdDrone-Local,0,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,1,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,2,1,0,1,1,1,0,0.28993159532546997
video05,BirdDrone-Local,3,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,4,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,5,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,6,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,7,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,8,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,9,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,10,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,11,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,12,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,13,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,14,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,15,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,16,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,17,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,18,1,0,1,1,0,0,0.43530189990997314
video05,BirdDrone-Local,19,1,0,1,1,1,0,0.3186619281768799
video05,BirdDrone-Local,20,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,21,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,22,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,23,1,0,1,1,0,0,0.3639267683029175
video05,BirdDrone-Local,24,1,1,0,0,1,0,0.25714054703712463
video05,BirdDrone-Local,25,0,0,0,0,0,0,0.0
video05,BirdDrone-Local,26,2,1,1,1,1,0,0.6838212609291077
video05,BirdDrone-Local,27,1,1,0,0,0,0,0.77540522813797
video05,BirdDrone-Local,28,1,1,0,0,0,0,0.7620189785957336
video05,BirdDrone-Local,29,1,1,0,0,0,0,0.7816742062568665
video05,BirdDrone-Local,30,2,2,0,0,1,0,0.7715109586715698
video05,BirdDrone-Local,31,1,1,0,0,0,0,0.722853422164917
video05,BirdDrone-Local,32,1,1,0,0,0,0,0.7745287418365479
video05,BirdDrone-Local,33,1,1,0,0,0,0,0.7703529000282288
video05,BirdDrone-Local,34,1,1,0,0,0,0,0.7475702166557312
video05,BirdDrone-Local,35,1,1,0,0,0,0,0.780175507068634
video05,BirdDrone-Local,36,1,1,0,0,0,0,0.774581253528595
video05,BirdDrone-Local,37,1,1,0,0,0,0,0.7753437757492065
video05,BirdDrone-Local,38,2,2,0,0,1,0,0.8382028341293335
video05,BirdDrone-Local,39,1,1,0,0,0,0,0.8374325633049011
video05,BirdDrone-Local,40,1,1,0,0,0,0,0.8569051623344421
video05,BirdDrone-Local,41,1,1,0,0,0,0,0.8490819931030273
video05,BirdDrone-Local,42,1,1,0,0,0,0,0.8373245000839233
video05,BirdDrone-Local,43,1,1,0,0,0,0,0.8362724781036377
video05,BirdDrone-Local,44,1,1,0,0,0,0,0.8209137320518494
video05,BirdDrone-Local,45,1,1,0,0,0,0,0.563156008720398
video05,BirdDrone-Local,46,1,1,0,0,0,0,0.7875069975852966
video05,BirdDrone-Local,47,2,2,0,0,0,0,0.7528010606765747
video05,BirdDrone-Local,48,1,1,0,0,0,0,0.8017864227294922
video05,BirdDrone-Local,49,2,2,0,0,0,0,0.8086490035057068
video05,BirdDrone-Local,50,1,1,0,0,0,0,0.8125863075256348
video05,BirdDrone-Local,51,1,1,0,0,0,0,0.8080944418907166
video05,BirdDrone-Local,52,1,1,0,0,0,0,0.8085896968841553
video05,BirdDrone-Local,53,1,1,0,0,0,0,0.80391526222229
