video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video13,TriClass-Cloud,0,1,1,0,0,0,1,0.6587526798248291
video13,TriClass-Cloud,1,1,1,0,0,0,0,0.6736664175987244
video13,TriClass-Cloud,2,1,1,0,0,0,0,0.7073896527290344
video13,TriClass-Cloud,3,1,1,0,0,0,0,0.787076473236084
video13,TriClass-Cloud,4,1,1,0,0,0,0,0.7756766676902771
video13,TriClass-Cloud,5,1,1,0,0,0,0,0.702820360660553
video13,TriClass-Cloud,6,1,1,0,0,0,0,0.5568994879722595
video13,TriClass-Cloud,7,1,1,0,0,0,0,0.7245224714279175
video13,TriClass-Cloud,8,1,1,0,0,0,0,0.7595066428184509
video13,TriClass-Cloud,9,1,1,0,0,0,0,0.7810994982719421
video13,TriClass-Cloud,10,1,1,0,0,0,0,0.769140899181366
video13,TriClass-Cloud,11,1,1,0,0,0,0,0.7587742805480957
video13,TriClass-Cloud,12,1,1,0,0,0,0,0.7783075571060181
video13,TriClass-Cloud,13,1,1,0,0,0,0,0.7821850180625916
video13,TriClass-Cloud,14,1,1,0,0,0,0,0.7704243063926697
video13,TriClass-Cloud,15,1,1,0,0,0,0,0.809913694858551
video13,TriClass-Cloud,16,1,1,0,0,0,0,0.816286027431488
video13,TriClass-Cloud,17,2,2,0,0,0,0,0.6117669939994812
video13,TriClass-Cloud,18,1,1,0,0,0,0,0.7803918123245239
video13,TriClass-Cloud,19,1,1,0,0,0,0,0.7182579636573792
video13,TriClass-Cloud,20,2,2,0,0,0,0,0.5640303492546082
video13,TriClass-Cloud,21,1,1,0,0,0,0,0.7998560667037964
video13,TriClass-Cloud,22,1,1,0,0,0,0,0.7798242568969727
video13,TriClass-Cloud,23,1,1,0,0,0,0,0.7732571959495544
video13,TriClass-Cloud,24,2,2,0,0,1,0,0.7408725619316101
video13,TriClass-Cloud,25,1,1,0,0,0,0,0.7800626158714294
video13,TriClass-Cloud,26,1,1,0,0,0,0,0.8276682496070862
video13,TriClass-Cloud,27,2,2,0,0,1,0,0.7528663277626038
video13,TriClass-Cloud,28,1,1,0,0,0,0,0.8081952929496765
video13,TriClass-Cloud,29,1,1,0,0,0,0,0.835261881351471
video13,TriClass-Cloud,30,1,1,0,0,0,0,0.7730633616447449
video13,TriClass-Cloud,31,1,1,0,0,0,0,0.8376941680908203
video13,TriClass-Cloud,32,1,1,0,0,0,0,0.8029753565788269
video13,TriClass-Cloud,33,1,1,0,0,0,0,0.7966233491897583
video13,TriClass-Cloud,34,1,1,0,0,0,0,0.7965646982192993
video13,TriClass-Cloud,35,1,1,0,0,0,0,0.7647117972373962
video13,TriClass-Cloud,36,1,1,0,0,0,0,0.703687846660614
video13,TriClass-Cloud,37,1,1,0,0,0,0,0.6886557340621948
video13,TriClass-Cloud,38,1,1,0,0,0,0,0.6030181050300598
video13,TriClass-Cloud,39,1,1,0,0,0,0,0.6339297890663147
video13,TriClass-Cloud,40,2,2,0,0,0,0,0.4674527049064636
video13,TriClass-Cloud,41,1,1,0,0,0,0,0.7395699620246887
video13,TriClass-Cloud,42,1,1,0,0,0,0,0.7047649025917053
video13,TriClass-Cloud,43,1,1,0,0,0,0,0.5910784602165222
video13,TriClass-Cloud,44,1,1,0,0,0,0,0.7690520882606506
video13,TriClass-Cloud,45,1,1,0,0,0,0,0.6929925084114075
video13,TriClass-Cloud,46,1,1,0,0,0,0,0.6648055911064148
video13,TriClass-Cloud,47,1,1,0,0,0,0,0.6949781179428101
video13,TriClass-Cloud,48,1,1,0,0,0,0,0.5631794929504395
video13,TriClass-Cloud,49,1,1,0,0,0,0,0.6701889038085938
video13,TriClass-Cloud,50,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,51,2,2,0,0,1,0,0.45580244064331055
video13,TriClass-Cloud,52,1,1,0,0,0,0,0.6756912469863892
video13,TriClass-Cloud,53,1,1,0,0,0,0,0.7662994265556335
video13,TriClass-Cloud,54,1,1,0,0,0,0,0.7562325596809387
video13,TriClass-Cloud,55,1,1,0,0,0,0,0.7781597375869751
video13,TriClass-Cloud,56,1,1,0,0,0,0,0.5649760365486145
video13,TriClass-Cloud,57,1,1,0,0,0,0,0.7618096470832825
video13,TriClass-Cloud,58,1,1,0,0,0,0,0.4689241349697113
video13,TriClass-Cloud,59,1,1,0,0,1,0,0.34648236632347107
video13,TriClass-Cloud,60,2,2,0,0,0,0,0.41939249634742737
video13,TriClass-Cloud,61,1,1,0,0,0,0,0.5810437202453613
video13,TriClass-Cloud,62,1,1,0,0,0,0,0.49134907126426697
video13,TriClass-Cloud,63,1,1,0,0,0,0,0.6667405366897583
video13,TriClass-Cloud,64,1,1,0,0,1,0,0.337453156709671
video13,TriClass-Cloud,65,1,1,0,0,0,0,0.6089863777160645
video13,TriClass-Cloud,66,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,67,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,68,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,69,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,70,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,71,0,0,0,0,0,0,0.0
video13,TriClass-Cloud,72,0,0,0,0,0,0,0.0
