video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video02,BirdDrone-Local-FT,0,1,1,0,0,0,1,0.7630702257156372
video02,BirdDrone-Local-FT,1,1,1,0,0,0,0,0.5461039543151855
video02,BirdDrone-Local-FT,2,1,1,0,0,0,0,0.6154531240463257
video02,BirdDrone-Local-FT,3,1,1,0,0,0,0,0.650143027305603
video02,BirdDrone-Local-FT,4,1,1,0,0,0,0,0.6395747065544128
video02,BirdDrone-Local-FT,5,1,1,0,0,0,0,0.6479748487472534
video02,BirdDrone-Local-FT,6,1,1,0,0,0,0,0.733862042427063
video02,BirdDrone-Local-FT,7,1,1,0,0,0,0,0.711002767086029
video02,BirdDrone-Local-FT,8,1,1,0,0,0,0,0.7153886556625366
video02,BirdDrone-Local-FT,9,1,1,0,0,0,0,0.6817243099212646
video02,BirdDrone-Local-FT,10,1,1,0,0,0,0,0.7621408104896545
video02,BirdDrone-Local-FT,11,1,1,0,0,0,0,0.8080938458442688
video02,BirdDrone-Local-FT,12,1,1,0,0,0,0,0.8128049373626709
video02,BirdDrone-Local-FT,13,1,1,0,0,0,0,0.8111313581466675
video02,BirdDrone-Local-FT,14,1,1,0,0,0,0,0.8295497894287109
video02,BirdDrone-Local-FT,15,1,1,0,0,0,0,0.8243598937988281
video02,BirdDrone-Local-FT,16,1,1,0,0,0,0,0.8441939353942871
video02,BirdDrone-Local-FT,17,1,1,0,0,0,0,0.8207616209983826
video02,BirdDrone-Local-FT,18,1,1,0,0,0,0,0.8208615779876709
video02,BirdDrone-Local-FT,19,1,1,0,0,0,0,0.8268347978591919
video02,BirdDrone-Local-FT,20,1,1,0,0,0,0,0.8186562061309814
video02,BirdDrone-Local-FT,21,1,1,0,0,0,0,0.8311256766319275
video02,BirdDrone-Local-FT,22,1,1,0,0,0,0,0.6918565034866333
video02,BirdDrone-Local-FT,23,1,1,0,0,0,0,0.6887555122375488
video02,BirdDrone-Local-FT,24,1,1,0,0,0,0,0.684003472328186
video02,BirdDrone-Local-FT,25,1,1,0,0,0,0,0.7415881752967834
video02,BirdDrone-Local-FT,26,1,1,0,0,0,0,0.7666534781455994
video02,BirdDrone-Local-FT,27,1,1,0,0,0,0,0.7353183031082153
video02,BirdDrone-Local-FT,28,1,1,0,0,0,0,0.7396002411842346
video02,BirdDrone-Local-FT,29,1,1,0,0,0,0,0.8166481256484985
video02,BirdDrone-Local-FT,30,1,1,0,0,0,0,0.8260807394981384
video02,BirdDrone-Local-FT,31,1,1,0,0,0,0,0.8048248291015625
video02,BirdDrone-Local-FT,32,1,1,0,0,0,0,0.8025023341178894
video02,BirdDrone-Local-FT,33,1,1,0,0,0,0,0.8061119914054871
video02,BirdDrone-Local-FT,34,1,1,0,0,0,0,0.7942693829536438
video02,BirdDrone-Local-FT,35,1,1,0,0,0,0,0.77275550365448
video02,BirdDrone-Local-FT,36,1,1,0,0,0,0,0.8447283506393433
video02,BirdDrone-Local-FT,37,1,1,0,0,0,0,0.8683204650878906
video02,BirdDrone-Local-FT,38,1,1,0,0,0,0,0.868465006351471
video02,BirdDrone-Local-FT,39,1,1,0,0,0,0,0.8437133431434631
video02,BirdDrone-Local-FT,40,1,1,0,0,0,0,0.8495059013366699
video02,BirdDrone-Local-FT,41,1,1,0,0,0,0,0.855981707572937
video02,BirdDrone-Local-FT,42,1,1,0,0,0,0,0.8649154901504517
video02,BirdDrone-Local-FT,43,1,1,0,0,0,0,0.8629811406135559
video02,BirdDrone-Local-FT,44,1,1,0,0,0,0,0.8595073819160461
video02,BirdDrone-Local-FT,45,1,1,0,0,0,0,0.8660796284675598
video02,BirdDrone-Local-FT,46,1,1,0,0,0,0,0.8610323071479797
video02,BirdDrone-Local-FT,47,1,1,0,0,0,0,0.8647913932800293
video02,BirdDrone-Local-FT,48,1,1,0,0,0,0,0.8644481301307678
video02,BirdDrone-Local-FT,49,1,1,0,0,0,0,0.8573558330535889
video02,BirdDrone-Local-FT,50,1,1,0,0,0,0,0.8650090098381042
video02,BirdDrone-Local-FT,51,1,1,0,0,0,0,0.8695299029350281
video02,BirdDrone-Local-FT,52,1,1,0,0,0,0,0.8681992292404175
video02,BirdDrone-Local-FT,53,1,1,0,0,0,0,0.8690062165260315
video02,BirdDrone-Local-FT,54,1,1,0,0,0,0,0.8762336373329163
video02,BirdDrone-Local-FT,55,1,1,0,0,0,0,0.8755420446395874
video02,BirdDrone-Local-FT,56,1,1,0,0,0,0,0.86748868227005
video02,BirdDrone-Local-FT,57,1,1,0,0,0,0,0.8843716979026794
video02,BirdDrone-Local-FT,58,1,1,0,0,0,0,0.8841911554336548
video02,BirdDrone-Local-FT,59,1,1,0,0,0,0,0.8672732710838318
video02,BirdDrone-Local-FT,60,1,1,0,0,0,0,0.8557172417640686
video02,BirdDrone-Local-FT,61,2,2,0,0,1,0,0.7938230037689209
video02,BirdDrone-Local-FT,62,1,1,0,0,0,0,0.8668385148048401
video02,BirdDrone-Local-FT,63,1,1,0,0,0,0,0.8673084378242493
video02,BirdDrone-Local-FT,64,1,1,0,0,0,0,0.8507486581802368
video02,BirdDrone-Local-FT,65,1,1,0,0,0,0,0.6049593091011047
video02,BirdDrone-Local-FT,66,1,1,0,0,0,0,0.7662734985351562
video02,BirdDrone-Local-FT,67,1,1,0,0,0,0,0.8193336725234985
video02,BirdDrone-Local-FT,68,1,1,0,0,0,0,0.8215252161026001
video02,BirdDrone-Local-FT,69,1,1,0,0,0,0,0.6226807236671448
video02,BirdDrone-Local-FT,70,1,1,0,0,0,0,0.8143367171287537
video02,BirdDrone-Local-FT,71,1,1,0,0,0,0,0.8441510200500488
video02,BirdDrone-Local-FT,72,2,2,0,0,0,0,0.599556565284729
video02,BirdDrone-Local-FT,73,2,2,0,0,0,0,0.6072538495063782
video02,BirdDrone-Local-FT,74,1,1,0,0,0,0,0.85347580909729
video02,BirdDrone-Local-FT,75,2,2,0,0,1,0,0.6055802702903748
video02,BirdDrone-Local-FT,76,2,2,0,0,1,0,0.8531370162963867
video02,BirdDrone-Local-FT,77,1,1,0,0,0,0,0.7470544576644897
video02,BirdDrone-Local-FT,78,1,1,0,0,0,0,0.7456240057945251
video02,BirdDrone-Local-FT,79,1,1,0,0,0,0,0.9060617685317993
video02,BirdDrone-Local-FT,80,1,1,0,0,0,0,0.8767848014831543
video02,BirdDrone-Local-FT,81,1,1,0,0,0,0,0.7216859459877014
video02,BirdDrone-Local-FT,82,1,1,0,0,0,0,0.8967424035072327
