video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video10,BirdDrone-Local,0,1,1,0,0,0,1,0.7969412803649902
video10,BirdDrone-Local,1,1,1,0,0,0,0,0.8046618103981018
video10,BirdDrone-Local,2,1,1,0,0,0,0,0.8028814196586609
video10,BirdDrone-Local,3,1,1,0,0,0,0,0.7906253933906555
video10,BirdDrone-Local,4,1,1,0,0,0,0,0.8329697847366333
video10,BirdDrone-Local,5,1,1,0,0,0,0,0.7994530200958252
video10,BirdDrone-Local,6,1,1,0,0,0,0,0.8289812207221985
video10,BirdDrone-Local,7,1,1,0,0,0,0,0.8511125445365906
video10,BirdDrone-Local,8,2,2,0,0,1,0,0.4524296224117279
video10,BirdDrone-Local,9,1,1,0,0,0,0,0.854966938495636
video10,BirdDrone-Local,10,1,1,0,0,0,0,0.8634647727012634
video10,BirdDrone-Local,11,1,1,0,0,0,0,0.8645589351654053
video10,BirdDrone-Local,12,1,1,0,0,0,0,0.7502221465110779
video10,BirdDrone-Local,13,1,1,0,0,0,0,0.6965359449386597
video10,BirdDrone-Local,14,1,1,0,0,0,0,0.8115271329879761
video10,BirdDrone-Local,15,1,1,0,0,0,0,0.7941019535064697
video10,BirdDrone-Local,16,1,1,0,0,0,0,0.8021230101585388
video10,BirdDrone-Local,17,1,1,0,0,0,0,0.8091611266136169
video10,BirdDrone-Local,18,1,1,0,0,0,0,0.841022253036499
video10,BirdDrone-Local,19,1,1,0,0,0,0,0.8386604189872742
video10,BirdDrone-Local,20,1,1,0,0,0,0,0.8407647013664246
video10,BirdDrone-Local,21,1,1,0,0,0,0,0.856143593788147
video10,BirdDrone-Local,22,1,1,0,0,0,0,0.8468821048736572
video10,BirdDrone-Local,23,1,1,0,0,0,0,0.8263885974884033
video10,BirdDrone-Local,24,2,2,0,0,0,0,0.8198187351226807
video10,BirdDrone-Local,25,1,1,0,0,0,0,0.7272969484329224
video10,BirdDrone-Local,26,1,1,0,0,0,0,0.7869410514831543
video10,BirdDrone-Local,27,1,1,0,0,0,0,0.8191313743591309
video10,BirdDrone-Local,28,1,1,0,0,0,0,0.8203828930854797
video10,BirdDrone-Local,29,1,1,0,0,0,0,0.8358795642852783
video10,BirdDrone-Local,30,1,1,0,0,0,0,0.8222368359565735
video10,BirdDrone-Local,31,1,1,0,0,0,0,0.8528445363044739
video10,BirdDrone-Local,32,1,1,0,0,0,0,0.8385933041572571
video10,BirdDrone-Local,33,1,1,0,0,0,0,0.796257495880127
video10,BirdDrone-Local,34,1,1,0,0,0,0,0.8300183415412903
video10,BirdDrone-Local,35,1,1,0,0,0,0,0.8431088924407959
video10,BirdDrone-Local,36,1,1,0,0,0,0,0.8195345997810364
video10,BirdDrone-Local,37,1,1,0,0,0,0,0.8408770561218262
video10,BirdDrone-Local,38,1,1,0,0,0,0,0.8527659177780151
video10,BirdDrone-Local,39,1,1,0,0,0,0,0.8557307720184326
video10,BirdDrone-Local,40,1,1,0,0,0,0,0.8743656277656555
video10,BirdDrone-Local,41,1,1,0,0,0,0,0.880000114440918
video10,BirdDrone-Local,42,1,1,0,0,0,0,0.8659204840660095
video10,BirdDrone-Local,43,1,1,0,0,0,0,0.8807287216186523
video10,BirdDrone-Local,44,1,1,0,0,0,0,0.8788114190101624
video10,BirdDrone-Local,45,1,1,0,0,0,0,0.8737188577651978
video10,BirdDrone-Local,46,1,1,0,0,0,0,0.8567948937416077
video10,BirdDrone-Local,47,2,2,0,0,0,0,0.5685910582542419
video10,BirdDrone-Local,48,1,1,0,0,0,0,0.797097384929657
video10,BirdDrone-Local,49,1,1,0,0,0,0,0.7978177070617676
video10,BirdDrone-Local,50,1,1,0,0,0,0,0.805993914604187
video10,BirdDrone-Local,51,1,1,0,0,0,0,0.8169518113136292
video10,BirdDrone-Local,52,1,1,0,0,0,0,0.8469281196594238
video10,BirdDrone-Local,53,1,1,0,0,0,0,0.8704509735107422
video10,BirdDrone-Local,54,1,1,0,0,0,0,0.8313847184181213
video10,BirdDrone-Local,55,1,1,0,0,0,0,0.802772045135498
video10,BirdDrone-Local,56,1,1,0,0,0,0,0.7740100622177124
video10,BirdDrone-Local,57,1,1,0,0,0,0,0.8222131133079529
video10,BirdDrone-Local,58,1,1,0,0,0,0,0.776624321937561
video10,BirdDrone-Local,59,1,1,0,0,0,0,0.7954080700874329
video10,BirdDrone-Local,60,1,1,0,0,0,0,0.8190063834190369
video10,BirdDrone-Local,61,1,1,0,0,0,0,0.6211446523666382
video10,BirdDrone-Local,62,1,1,0,0,0,0,0.786292314529419
video10,BirdDrone-Local,63,1,1,0,0,0,0,0.81740403175354
