video,model,frames,frames_detected,detection_rate,false_class,low_conf_fp,gap_count,max_gap,total_missed,mean_conf,tp_first_frame
video01,BirdDrone-Local,1050,865,0.8238,3,92,5,57,185,0.6562,1
video02,BirdDrone-Local,83,73,0.8795,26,17,0,0,10,0.5112,1
video03,BirdDrone-Local,100,97,0.97,64,10,0,0,3,0.6196,1
video04,BirdDrone-Local,341,339,0.9941,9,40,0,0,2,0.7096,1
video05,BirdDrone-Local,450,428,0.9511,5,16,1,15,22,0.7932,0
video06,BirdDrone-Local,200,200,1.0,4,6,0,0,0,0.7881,1
video07,BirdDrone-Local,2480,1765,0.7117,1,107,12,158,715,0.7608,1
video08,BirdDrone-Local,2305,2035,0.8829,41,193,5,98,270,0.7187,1
video09,BirdDrone-Local,2500,1514,0.6056,0,34,5,506,986,0.8134,1
video10,BirdDrone-Local,2635,1828,0.6937,1,193,31,135,807,0.6876,1
video11,BirdDrone-Local,1000,982,0.982,0,52,0,0,18,0.7693,1
video12,BirdDrone-Local,1485,984,0.6626,0,62,5,253,501,0.7047,0
video13,BirdDrone-Local,1915,935,0.4883,0,330,43,113,980,0.5014,1
video14,BirdDrone-Local,590,488,0.8271,0,58,7,17,102,0.6403,0
video15,BirdDrone-Local,1350,866,0.6415,0,63,22,93,484,0.7104,1
video16,BirdDrone-Local,1285,959,0.7463,0,527,21,30,326,0.5006,1
video17,BirdDrone-Local,780,429,0.55,0,132,21,62,351,0.5202,1
video18,BirdDrone-Local,1320,1264,0.9576,5,49,2,27,56,0.7371,1
video19,BirdDrone-Local,1300,1293,0.9946,0,315,0,0,7,0.6423,1
video20,BirdDrone-Local,1635,1296,0.7927,0,253,19,27,339,0.6452,1
video01,BirdDrone-Local-FT,1050,898,0.8552,0,28,5,58,152,0.8315,1
video02,BirdDrone-Local-FT,83,83,1.0,0,3,0,0,0,0.7938,1
video03,BirdDrone-Local-FT,100,100,1.0,61,7,0,0,0,0.6969,1
video04,BirdDrone-Local-FT,341,338,0.9912,1,17,0,0,3,0.7987,1
video05,BirdDrone-Local-FT,450,425,0.9444,0,2,1,25,25,0.8924,0
video06,BirdDrone-Local-FT,200,200,1.0,1,2,0,0,0,0.8729,1
video07,BirdDrone-Local-FT,2480,1878,0.7573,0,73,11,155,602,0.8583,1
video08,BirdDrone-Local-FT,2305,2071,0.8985,0,63,5,95,234,0.8488,1
video09,BirdDrone-Local-FT,2500,1626,0.6504,0,33,3,770,874,0.8847,1
video10,BirdDrone-Local-FT,2635,2228,0.8455,0,51,8,329,407,0.853,1
video11,BirdDrone-Local-FT,1000,979,0.979,0,22,0,0,21,0.8558,1
video12,BirdDrone-Local-FT,1485,989,0.666,0,29,5,253,496,0.8158,0
video13,BirdDrone-Local-FT,1915,1196,0.6245,0,168,28,135,719,0.6251,1
video14,BirdDrone-Local-FT,590,490,0.8305,0,51,5,20,100,0.6942,0
video15,BirdDrone-Local-FT,1350,1144,0.8474,0,322,7,59,206,0.7467,1
video16,BirdDrone-Local-FT,1285,358,0.2786,0,7,7,608,927,0.8088,1
video17,BirdDrone-Local-FT,780,473,0.6064,0,92,17,70,307,0.6083,1
video18,BirdDrone-Local-FT,1320,1262,0.9561,2,32,1,58,58,0.8311,1
video19,BirdDrone-Local-FT,1300,1105,0.85,0,46,8,72,195,0.7645,1
video20,BirdDrone-Local-FT,1635,1257,0.7688,0,106,20,84,378,0.7199,1
