video,model,frames,frames_detected,detection_rate,false_class,low_conf_fp,gap_count,max_gap,total_missed,mean_conf,tp_first_frame
video01,TriClass-Cloud,1050,900,0.8571,0,48,2,104,150,0.7363,1
video02,TriClass-Cloud,83,83,1.0,0,1,0,0,0,0.7461,0
video03,TriClass-Cloud,100,87,0.87,0,40,0,0,13,0.4578,1
video04,TriClass-Cloud,341,327,0.9589,0,50,0,0,14,0.5725,1
video05,TriClass-Cloud,450,418,0.9289,0,38,1,25,32,0.6602,0
video06,TriClass-Cloud,200,200,1.0,0,6,0,0,0,0.7918,1
video07,TriClass-Cloud,2480,1846,0.7444,0,184,12,152,634,0.7271,1
video08,TriClass-Cloud,2305,1994,0.8651,0,294,5,93,311,0.6168,1
video09,TriClass-Cloud,2500,1556,0.6224,0,133,2,802,944,0.6694,1
video10,TriClass-Cloud,2635,2119,0.8042,0,256,8,333,516,0.6775,1
video11,TriClass-Cloud,1000,1000,1.0,0,62,0,0,0,0.8205,1
video12,TriClass-Cloud,1485,1044,0.703,0,45,5,211,441,0.7494,0
video13,TriClass-Cloud,1915,1434,0.7488,0,187,22,117,481,0.6042,1
video14,TriClass-Cloud,590,580,0.9831,0,64,0,0,10,0.7447,1
video15,TriClass-Cloud,1350,1203,0.8911,0,154,4,61,147,0.7332,1
video16,TriClass-Cloud,1285,642,0.4996,0,112,34,60,643,0.645,1
video17,TriClass-Cloud,780,591,0.7577,0,73,9,58,189,0.6396,1
video18,TriClass-Cloud,1320,1226,0.9288,0,130,3,55,94,0.6163,1
video19,TriClass-Cloud,1300,1202,0.9246,0,157,7,12,98,0.6468,1
video20,TriClass-Cloud,1635,1235,0.7554,0,403,23,24,400,0.5117,1
video01,TriClass-Cloud-FT,1050,909,0.8657,0,11,4,54,141,0.8745,1
video02,TriClass-Cloud-FT,83,83,1.0,0,2,0,0,0,0.845,0
video03,TriClass-Cloud-FT,100,100,1.0,0,12,0,0,0,0.6562,1
video04,TriClass-Cloud-FT,341,338,0.9912,0,11,0,0,3,0.7937,1
video05,TriClass-Cloud-FT,450,425,0.9444,0,6,1,25,25,0.8693,0
video06,TriClass-Cloud-FT,200,200,1.0,0,2,0,0,0,0.8867,1
video07,TriClass-Cloud-FT,2480,1906,0.7685,1,31,15,115,574,0.8931,1
video08,TriClass-Cloud-FT,2305,2105,0.9132,0,59,4,91,200,0.8653,1
video09,TriClass-Cloud-FT,2500,1663,0.6652,0,32,3,774,837,0.8945,1
video10,TriClass-Cloud-FT,2635,2306,0.8751,0,17,2,296,329,0.8999,1
video11,TriClass-Cloud-FT,1000,997,0.997,0,28,0,0,3,0.8939,1
video12,TriClass-Cloud-FT,1485,1099,0.7401,0,24,5,186,386,0.8582,1
video13,TriClass-Cloud-FT,1915,1713,0.8945,0,118,9,50,202,0.7495,1
video14,TriClass-Cloud-FT,590,584,0.9898,0,15,0,0,6,0.8065,1
video15,TriClass-Cloud-FT,1350,1126,0.8341,0,29,8,67,224,0.8433,1
video16,TriClass-Cloud-FT,1285,726,0.565,0,195,29,63,559,0.654,1
video17,TriClass-Cloud-FT,780,601,0.7705,0,38,6,110,179,0.7435,1
video18,TriClass-Cloud-FT,1320,1265,0.9583,0,23,1,50,55,0.873,1
video19,TriClass-Cloud-FT,1300,1246,0.9585,0,39,3,10,54,0.8118,1
video20,TriClass-Cloud-FT,1635,1514,0.926,0,60,8,9,121,0.7603,1
