video,model,frame,detections,drone_det,bird_det,false_class,low_conf_fp,tp_iou,max_conf
video18,TriClass-Cloud,0,1,1,0,0,0,1,0.6091993451118469
video18,TriClass-Cloud,1,1,1,0,0,0,0,0.6724482774734497
video18,TriClass-Cloud,2,1,1,0,0,0,0,0.6124817132949829
video18,TriClass-Cloud,3,1,1,0,0,0,0,0.5797091126441956
video18,TriClass-Cloud,4,1,1,0,0,0,0,0.6111272573471069
video18,TriClass-Cloud,5,1,1,0,0,0,0,0.39081770181655884
video18,TriClass-Cloud,6,1,1,0,0,0,0,0.5043611526489258
video18,TriClass-Cloud,7,1,1,0,0,0,0,0.5579609274864197
video18,TriClass-Cloud,8,1,1,0,0,0,0,0.6694047451019287
video18,TriClass-Cloud,9,1,1,0,0,0,0,0.7033194899559021
video18,TriClass-Cloud,10,1,1,0,0,0,0,0.6923860907554626
video18,TriClass-Cloud,11,1,1,0,0,0,0,0.6372119784355164
video18,TriClass-Cloud,12,1,1,0,0,1,0,0.33417001366615295
video18,TriClass-Cloud,13,1,1,0,0,0,0,0.4050965905189514
video18,TriClass-Cloud,14,1,1,0,0,0,0,0.4368259012699127
video18,TriClass-Cloud,15,1,1,0,0,0,0,0.3701169788837433
video18,TriClass-Cloud,16,1,1,0,0,0,0,0.47304338216781616
video18,TriClass-Cloud,17,1,1,0,0,0,0,0.4751167893409729
video18,TriClass-Cloud,18,1,1,0,0,1,0,0.31160521507263184
video18,TriClass-Cloud,19,1,1,0,0,0,0,0.3885386884212494
video18,TriClass-Cloud,20,1,1,0,0,0,0,0.35237959027290344
video18,TriClass-Cloud,21,1,1,0,0,0,0,0.4571438431739807
video18,TriClass-Cloud,22,1,1,0,0,0,0,0.37583911418914795
video18,TriClass-Cloud,23,1,1,0,0,0,0,0.41761162877082825
video18,TriClass-Cloud,24,1,1,0,0,0,0,0.5703991055488586
video18,TriClass-Cloud,25,1,1,0,0,0,0,0.6856169104576111
video18,TriClass-Cloud,26,1,1,0,0,0,0,0.6393330693244934
video18,TriClass-Cloud,27,1,1,0,0,0,0,0.4846520721912384
video18,TriClass-Cloud,28,1,1,0,0,0,0,0.6421991586685181
video18,TriClass-Cloud,29,1,1,0,0,0,0,0.7828071117401123
video18,TriClass-Cloud,30,1,1,0,0,0,0,0.7727037668228149
video18,TriClass-Cloud,31,1,1,0,0,0,0,0.7965851426124573
video18,TriClass-Cloud,32,1,1,0,0,0,0,0.8033901453018188
video18,TriClass-Cloud,33,1,1,0,0,0,0,0.8429381847381592
video18,TriClass-Cloud,34,1,1,0,0,0,0,0.7856844067573547
video18,TriClass-Cloud,35,1,1,0,0,0,0,0.8108030557632446
video18,TriClass-Cloud,36,1,1,0,0,0,0,0.8065831661224365
video18,TriClass-Cloud,37,1,1,0,0,0,0,0.8339071273803711
video18,TriClass-Cloud,38,1,1,0,0,0,0,0.6481784582138062
video18,TriClass-Cloud,39,1,1,0,0,0,0,0.3831649124622345
video18,TriClass-Cloud,40,1,1,0,0,0,0,0.5687994956970215
video18,TriClass-Cloud,41,1,1,0,0,0,0,0.7985563278198242
video18,TriClass-Cloud,42,1,1,0,0,0,0,0.7147952914237976
video18,TriClass-Cloud,43,1,1,0,0,0,0,0.5925588607788086
video18,TriClass-Cloud,44,1,1,0,0,0,0,0.705644965171814
video18,TriClass-Cloud,45,1,1,0,0,0,0,0.6757099628448486
video18,TriClass-Cloud,46,1,1,0,0,0,0,0.6843145489692688
