epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.366,1.52523,0.90917,0.00635,0.8492,0.81822,0.88327,0.57453,1.25618,0.55895,0.00666,0.000333161,0.000333161,0.067017
2,1735,1.45603,0.82318,0.0061,0.86801,0.82262,0.88026,0.58533,1.21394,0.50589,0.00656,0.000633503,0.000633503,0.033984
3,2543.83,1.38866,0.78155,0.00585,0.86951,0.8257,0.87886,0.58721,1.22786,0.49215,0.00659,0.000900845,0.000900845,0.000918045
4,3368.62,1.34947,0.76157,0.0059,0.88533,0.8052,0.86965,0.584,1.22337,0.48614,0.00664,0.0008515,0.0008515,0.0008515
5,4194.27,1.34512,0.75547,0.0058,0.88432,0.82886,0.88142,0.59281,1.21084,0.47888,0.00658,0.000802,0.000802,0.000802
6,5030.06,1.34141,0.73831,0.00575,0.8816,0.8291,0.87991,0.5915,1.20625,0.48003,0.00659,0.0007525,0.0007525,0.0007525
7,5866.38,1.3258,0.72441,0.00579,0.8777,0.82739,0.87611,0.58795,1.23825,0.47828,0.0067,0.000703,0.000703,0.000703
8,6680.71,1.3313,0.72683,0.00576,0.88281,0.83002,0.88157,0.59585,1.20122,0.46913,0.00664,0.0006535,0.0006535,0.0006535
9,7487.31,1.33524,0.72402,0.00572,0.87647,0.83138,0.87852,0.59418,1.2105,0.47312,0.00668,0.000604,0.000604,0.000604
10,8296.47,1.32089,0.71287,0.00571,0.88293,0.83476,0.88292,0.59621,1.20811,0.47133,0.00656,0.0005545,0.0005545,0.0005545
11,9093.21,1.21697,0.54946,0.00648,0.87416,0.82401,0.87114,0.58481,1.23624,0.48605,0.00678,0.000505,0.000505,0.000505
12,9885.99,1.20955,0.53789,0.00632,0.88624,0.82403,0.87681,0.58966,1.22828,0.47858,0.00676,0.0004555,0.0004555,0.0004555
13,10691.7,1.19157,0.52528,0.00631,0.87494,0.83044,0.87512,0.59128,1.22468,0.47775,0.0067,0.000406,0.000406,0.000406
14,11495.2,1.1973,0.52231,0.00622,0.87891,0.83277,0.87759,0.59297,1.21388,0.47045,0.0066,0.0003565,0.0003565,0.0003565
15,12321.9,1.18655,0.51336,0.00616,0.89134,0.8299,0.8809,0.59469,1.21689,0.46677,0.0066,0.000307,0.000307,0.000307
16,13152.9,1.1869,0.51637,0.00618,0.88564,0.83236,0.88042,0.59843,1.20759,0.46429,0.00657,0.0002575,0.0002575,0.0002575
17,13968.9,1.18374,0.51382,0.00622,0.88308,0.83665,0.88011,0.59806,1.20614,0.4641,0.00657,0.000208,0.000208,0.000208
18,14781.6,1.17657,0.51012,0.00609,0.8762,0.83368,0.87738,0.59724,1.20662,0.46619,0.00656,0.0001585,0.0001585,0.0001585
19,15583.4,1.17327,0.511,0.00611,0.87206,0.83496,0.87652,0.59623,1.20711,0.46598,0.00658,0.000109,0.000109,0.000109
20,16390.8,1.16994,0.51031,0.00601,0.87911,0.83142,0.87652,0.59672,1.20905,0.46728,0.00657,5.95e-05,5.95e-05,5.95e-05
