epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.112,1.61113,0.76524,0.00397,0.95328,0.92711,0.96491,0.65251,1.09578,0.4076,0.00303,0.000332952,0.000332952,0.0670378
2,815.011,1.55141,0.7226,0.00381,0.9518,0.92922,0.96568,0.67751,0.99248,0.3864,0.00284,0.000633304,0.000633304,0.0340048
3,1217.15,1.50534,0.7019,0.00371,0.95518,0.92636,0.96493,0.66903,1.01212,0.39549,0.00298,0.000900656,0.000900656,0.000938795
4,1602.59,1.48081,0.68705,0.00374,0.95558,0.92538,0.96429,0.66587,1.03435,0.38581,0.00299,0.0008515,0.0008515,0.0008515
5,1996.59,1.48181,0.68281,0.00362,0.95374,0.9249,0.96554,0.66817,1.03268,0.39404,0.00298,0.000802,0.000802,0.000802
6,2387.48,1.45521,0.67762,0.00361,0.95855,0.9275,0.96651,0.65979,1.06673,0.38838,0.00304,0.0007525,0.0007525,0.0007525
7,2780,1.44917,0.6662,0.00361,0.94986,0.92807,0.96523,0.67413,1.0054,0.38667,0.00287,0.000703,0.000703,0.000703
8,3164.56,1.42968,0.6497,0.00366,0.95507,0.92387,0.96584,0.67237,1.03129,0.38573,0.00293,0.0006535,0.0006535,0.0006535
9,3552.91,1.44479,0.65135,0.00353,0.94933,0.92812,0.96615,0.66871,1.03291,0.38342,0.00291,0.000604,0.000604,0.000604
10,3941.79,1.4311,0.65376,0.00357,0.94898,0.93453,0.96912,0.67751,1.01722,0.37514,0.00287,0.0005545,0.0005545,0.0005545
